name_gpu,alexnet,inception3,inception4,resnet152,resnet50,vgg16
3990X-GeForce_RTX_3080_TF1_15_1x,1024,128,32,64,128,120
3990X-GeForce_RTX_3080_XLA_TF1_15_1x,1024,128,32,64,128,120
7742-1xA100-SXM4-40GB_TF2_3_1x,3584,448,112,224,448,448
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF1_15_1x,1024,128,32,64,128,120
Gold_6230-GeForce_RTX_2080_Ti_NVLink_XLA_trt_TF2_2_8x,8192,1024,256,512,1024,960
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF1_15_8x,8192,1024,256,512,1024,960
Gold_6230-GeForce_RTX_2080_Ti_NVLink_trt_TF2_2_8x,8192,1024,256,512,1024,960
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF1_15_8x,8192,1024,256,512,1024,960
Gold_6230-GeForce_RTX_2080_Ti_XLA_trt_TF2_2_8x,8192,1024,256,512,1024,960
Gold_6230-GeForce_RTX_2080_Ti_trt_TF1_15_8x,8192,1024,256,512,1024,960
Gold_6230-GeForce_RTX_2080_Ti_trt_TF2_2_8x,8192,1024,256,512,1024,960
Gold_6230-Quadro_RTX_8000_NVLink_XLA_trt2_TF2_2_8x,32768,4096,1024,2048,4096,4096
Gold_6230-Quadro_RTX_8000_NVLink_XLA_trt_TF1_15_8x,32768,4096,1024,2048,4096,4096
Gold_6230-Quadro_RTX_8000_XLA_trt2_TF2_2_8x,32768,4096,1024,2048,4096,4096
Gold_6230-Quadro_RTX_8000_XLA_trt_TF1_15_8x,32768,4096,1024,2048,4096,4096
Platinum-Tesla_1xV100-SXM3-32GB_HP16_TF2_2_1x,3072,384,96,192,384,384
Processor-LambdaCloud_1xQuadro_RTX_6000_1x,2048,256,64,128,256,256
Processor-LambdaCloud_2xQuadro_RTX_6000_2x,4096,512,128,256,512,512
Processor-LambdaCloud_4xQuadro_RTX_6000_4x,8192,1024,256,512,1024,1024
